nom,dates,lieu
MOONDANCE FESTIVAL 2025,"July 25- 27, 2025","Trogir, Croatia"
NEWPORT FOLK FESTIVAL 2025,"July 25- 27, 2025","Newport, RI"
OUT OF SPACE 2025,"July 24- 27, 2025","Skokie, IL"
PALÉO FESTIVAL 2025,"July 22- 27, 2025","Nyon, Switzerland"
POLIFONIC 2025,"July 23- 27, 2025","Valle D'Itria, Italy"
POOLE HARBOUR FESTIVAL 2025,"July 25- 27, 2025","Poole, UK"
PROJECT PABST 2025,"July 26- 27, 2025","Portland, OR"
RED ANTS PANTS FESTIVAL 2025,"July 24- 27, 2025","White Sulphur Springs, MT"
ROCK OYSTER FESTIVAL 2025,"July 24- 27, 2025","Wadebridge, UK"
ROCKYGRASS FESTIVAL 2025,"July 25- 27, 2025","Lyons, CO"
SALMON ARM ROOTS & BLUES 2025,"July 25- 27, 2025","Salmon Arm, BC"
STANDON CALLING 2025,Cancelled,"Standon, UK"
STEELHOUSE FESTIVAL 2025,"July 25- 27, 2025","Abertillery, UK"
SUMMER APEX 2025,"July 25- 27, 2025","Elkhart Lake, WI"
SUMMER SOUND FESTIVAL 2025,"July 25- 27, 2025","Guisborough, UK"
THE BIG STOMP 2025,"July 26- 27, 2025","Louisville, KY"
THE GREAT BEYOND 2025,"July 25- 27, 2025","Franklin, MN"
TOGETHER AGAIN FESTIVAL 2025,"July 25- 27, 2025","Chester, UK"
TOMORROWLAND 2025,"July 18- 27, 2025","Boom, Belgium"
TORONTO’S FESTIVAL OF BEER 2025,"July 25- 27, 2025","Toronto, ON"
TRAMLINES 2025,"July 25- 27, 2025","Sheffield, UK"
TRUCK FESTIVAL 2025,"July 24- 27, 2025","Oxfordshire, UK"
UNDERGROUND MUSIC SHOWCASE (UMS) 2025,"July 25- 27, 2025","Denver, Co"
UNHINGED FESTIVAL 2025,"July 26- 27, 2025","Denver, CO"
VILJANDI FOLK MUSIC FESTIVAL 2025,"July 24- 27, 2025","Viljandi, Estonia"
WARPED TOUR LONG BEACH 2025,"July 26- 27, 2025","Long Beach, CA"
WOMAD FESTIVAL 2025,Cancelled,"Malmesbury, UK"
DEER SHED FESTIVAL 2025,"July 25- 28, 2025","Topcliffe, UK"
HOME OF THE DRUM 2025,Cancelled,"Wales, UK"
OUTLOOK FESTIVAL 2025,"July 24- 28, 2025","Tisno, Croatia"
SHAMBHALA MUSIC FESTIVAL 2025,"July 25- 28, 2025","Salmo, BC"
FESTIVAL DE CARCASSONNE 2025,"July 22- 29, 2025","Carcassonne, France"
LES DÉFERLANTES 2025,"July 26- 29, 2025","Le Barcares, France"
FLAMINGO REPUBLIC 2025,"July 28- 31, 2025","Novalja, Croatia"
BELLADRUM TARTAN HEART FESTIVAL 2025,"July 31- August 2, 2025","Beauly, Scotland"
BEYOND THE GATES 2025,"July 30- August 2, 2025","Bergen, Norway"
CINCINNATI MUSIC FESTIVAL 2025,"July 31- August 2, 2025","Cincinnati, OH"
COLOUR CLASH 2025,"August 2,  2025","Newport, Wales"
COUNTY LINE COUNTRY FEST 2025,"July 31- August 2, 2025","Prairie du Chien, WI"
EVERWILD FESTIVAL 2025,"July 31- August 2, 2025","Thornville, OH"
FENGAROS FESTIVAL 2025,"July 31- August 2, 2025",Cyprus
LET IT ROLL 2025,"July 31- August 2, 2025","Prague, Czech"
MAHA FESTIVAL 2025,"August 2,  2025","Omaha, NE"
O DAYS FESTIVAL 2025,"July 31- August 2, 2025","Copenhagen, Denmark"
PARADISE IN THE CITY 2025,"August 2,  2025","London, UK"
POL’AND’ROCK 2025,"July 31- August 2, 2025","Czaplinek, Poland"
PORISPERE 2025,"August 1- 2, 2025","Pori, Finland"
ROCK THE RIND 2025,"July 31- August 2, 2025","Brownstown, IN"
SUMMER RENDEZVOUS BEERFEST 2025,"August 2,  2025","Helena, MT"
SUMMER SOUND LATVIA 2025,"August 1- 2, 2025","Liepaja, Latvia"
SZENE OPENAIR 2025,"July 31- August 2, 2025","Lustenau, Austria"
TENSION FESTIVAL 2025,"July 31- August 2, 2025","Basel, Switzerland"
TERP FLOAT FEST 2025,"July 31- August 2, 2025","Tahlequah, OK"
WACKEN 2025,"July 30- August 2, 2025","Wacken, Germany"
WEEKEND FESTIVAL FINLAND 2025,"August 1- 2, 2025","Helsinki, Finland"
WILDLANDS FESTIVAL BIG SKY 2025,"August 1- 2, 2025","Big Sky, MT"
XTREME FEST 2025,"July 31- August 2, 2025","Tarn, France"
ALL TOGETHER NOW FESTIVAL 2025,"July 31- August 3, 2025","Waterford, Ireland"
AREA 506 2025,"August 1- 3, 2025","Saint John, NB"
ARENAL SOUND 2025,"July 30- August 3, 2025","Borianna, Spain"
BACK COVE MUSIC FESTIVAL 2025,"August 2- 3, 2025","Portland, ME"
BEARS PICNIC 2025,"July 31- August 3, 2025","Blain, PA"
BIG VALLEY JAMBOREE 2025,"July 31- August 3, 2025","Camrose, AB"
BLUEGRASS AND BEER FESTIVAL 2025,"August 2- 3, 2025","Keystone, CO"
CAMBRIDGE FOLK FESTIVAL 2025,Cancelled,"Cambridge, UK"
CAMBRIDGE ROCK FESTIVAL 2025,"July 31- August 3, 2025","Cambridge, UK"
CASTLEFEST 2025,"July 31- August 3, 2025","Amsterdam, NL"
CHASING SUMMER 2025,"August 2- 3, 2025","Calgary, AB"
DEKMANTEL FESTIVAL 2025,"August 1- 3, 2025","Amsterdam, Netherlands"
DOUNE THE RABBIT HOLE 2025,"August 1- 3, 2025","Stirlingshire, Scotland"
FAINE MISTO 2025,"August 1- 3, 2025","Lviv, Ukraine"
FAMILY PIKNIK 2025,"August 1- 3, 2025","Frontignan, France"
HARD SUMMER 2025,"August 2- 3, 2025","Los Angeles, CA"
HINTERLAND MUSIC FESTIVAL 2025,"August 1- 3, 2025","Des Moines, IA"
KASLO JAZZ FESTIVAL 2025,"August 1- 3, 2025","Kaslo, BC"
KENDAL CALLING 2025,"July 31- August 3, 2025","Cumbria, UK"
LOLLAPALOOZA CHICAGO 2025,"July 31- August 3, 2025","Chicago, IL"
MADE FESTIVAL 2025,Cancelled,"Birmingham, UK"
MAMMOTH BLUESAPALOOZA 2025,"July 31- August 3, 2025","Mammoth Lakes, CA"
MEMBRAIN FESTIVAL 2025,"July 31- August 3, 2025","Šibenik, Croatia"
MILE OF MUSIC 2025,"July 31- August 3, 2025","Appleton, WI"
NATURE ONE 2025,"July 31- August 3, 2025","Kastellaun, Germany"
NEWPORT JAZZ FESTIVAL 2025,"August 1- 3, 2025","Newport, RI"
NOMADE REGGAE FESTIVAL 2025,"July 31- August 3, 2025","Anglefort, France"
NOTODDEN BLUES FESTIVAL 2025,"July 31- August 3, 2025","Notodden, Norway"
OFF FESTIVAL 2025,"August 1- 3, 2025","Katowice, Poland"
OHRID CALLING 2025,"July 31- August 3, 2025","Ohrid, Macedonia"
OREGON JAMBOREE 2025,"August 1- 3, 2025","Sweet Home, OR"
OSHEAGA 2025,"August 1- 3, 2025","Montreal, QC"
PELOPONNESE BEER FESTIVAL 2025,"August 1- 3, 2025","Kalamata, Greece"
PENTAPORT ROCK FESTIVAL 2025,"August 1- 3, 2025","Incheon, South Korea"
PICKATHON 2025,"July 31- August 3, 2025","Happy Valley, OR"
PIGEON LAKE MUSIC FESTIVAL 2025,"August 1- 3, 2025","Mulhurst Bay, AB"
PRIDE ON THE PARK 2025,"August 2- 3, 2025","Brighton, UK"
REGGAE LAND FESTIVAL 2025,"August 2- 3, 2025","Milton Keynes, UK"
REGGAE ON THE RIVER 2025,"August 1- 3, 2025","Garberville, CA"
RHYTHMS ON THE RIO 2025,"July 31- August 3, 2025","Del Norte, CO"
ROCKIN THE FIELDS 2025,"August 1- 3, 2025","Minnedosa, Manitoba"
ROCKSTADT EXTREME FEST 2025,"July 30- August 3, 2025","Râșnov, Romania"
SALMONFEST 2025,"August 1- 3, 2025","Ninilchik, AK"
SOLAR WEEKEND 2025,"July 31- August 3, 2025","Roermond, Netherlands"
SOUND HAVEN 2025,"July 31- August 3, 2025","Whitwell, TN"
SUNFEST COUNTRY FESTIVAL 2025,"July 31- August 3, 2025","Lake Cowichan, BC"
SUNNY HILL FESTIVAL 2025,"August 1- 3, 2025","Prishtina, Kosovo"
SUNSKA FESTIVAL 2025,"August 1- 3, 2025","Vertheuil, France"
SWEET PEA FESTIVAL 2025,"August 1- 3, 2025","Bozeman, MT"
SYLAK OPEN AIR 2025,"August 1- 3, 2025","Saint-Maurice-de-Gourdans, France"
VALLEY FEST 2025,Cancelled,"Chew Magna, UK"
VELD MUSIC FESTIVAL 2025,"August 1- 3, 2025","Toronto, ON"
WATERSHED FESTIVAL 2025,"August 1- 3, 2025","George, WA"
WICKHAM FESTIVAL 2025,"July 31- August 3, 2025","Wickham, UK"
WILDERNESS FESTIVAL 2025,"July 31- August 3, 2025","Oxfordshire, UK"
Y NOT FESTIVAL 2025,"July 31- August 3, 2025","Derbyshire, UK"
YOUNG ISLAND FESTIVAL 2025,"July 31- August 3, 2025","Bacău, România"
DEFECTED CROATIA 2025,"July 30- August 4, 2025","Tisno, Croatia"
GARBICZ FESTIVAL 2025,"July 31- August 4, 2025","Garbicz, Poland"
OZORA FESTIVAL 2025,"July 25- August 5, 2025","Dádpuszta, Hungary"
PUNK ROCK HOLIDAY 2025,"August 5- 8, 2025","Tolmin, Slovenia"
ASHLEY FOR THE ARTS 2025,"August 7- 9, 2025","Arcadia, WI"
BEANSTALK MUSIC FESTIVAL 2025,"August 7- 9, 2025","Bond, Colorado"
BRAUN BROTHERS REUNION 2025,"August 7- 9, 2025","Challis, ID"
BRUTAL ASSAULT 2025,"August 6- 9, 2025","Jaroměř, Czech"
DANCE VALLEY 2025,"August 9,  2025","Velsen, Netherlands"
DAS ENERGI FESTIVAL 2025,"August 8- 9, 2025","Salt Lake City, UT"
DOMEFEST 2025,"August 7- 9, 2025","New River Gorge, WV"
FRESH WAVE FESTIVAL 2025,"August 7- 9, 2025","Banja Luka, BiH"
GRAPE FESTIVAL 2025,"August 8- 9, 2025","Piešťany, Slovakia"
GREAT BRITISH BEER FESTIVAL 2025,"August 5- 9, 2025","Birmingham, UK"
HALDERN POP FESTIVAL 2025,"August 7- 9, 2025","Haldern, Germany"
HELLSINKI METAL FESTIVAL 2025,"August 8- 9, 2025","Helsinki, Finland"
JAMPACKED FESTIVAL 2025,"August 9,  2025","Richmond, VA"
LEYENDAS DEL ROCK 2025,"August 6- 9, 2025","Villena, Spain"
LOVEFEST 2025,"August 7- 9, 2025","Vrnjačka Banja, Serbia"
NEON NIGHTS 2025,"August 8- 9, 2025","North Lawrence, OH"
NEOPOP 2025,"August 7- 9, 2025","Viana do Castelo, Portugal"
OYA FESTIVAL 2025,"August 5- 9, 2025","Oslo, Norway"
PICTURE ON FESTIVAL 2025,"August 8- 9, 2025","Unterbildein, Austria"
POSITIVUS FESTIVAL 2025,"August 8- 9, 2025","Riga, Lucavsala"
ROCK LA CAUZE 2025,"August 7- 9, 2025","Victoriaville, QC"
SHUTDOWN 2025,"August 9,  2025","Vienna, Austria"
SONICBLAST 2025,"August 7- 9, 2025","Vila Praia de Âncora, Portugal"
STARS IN TOWN 2025,"July 30- August 9, 2025","Schaffhausen, Switzerland"
SUDOESTE FESTIVAL 2025,Cancelled,"Zambujeira Do Mar, Portugal"
SYD FOR SOLEN 2025,"August 7- 9, 2025","Frederiksberg, Denmark"
THIS IS HARDCORE FEST 2025,"August 8- 9, 2025","Philadelphia, PA"
TRIBES UNITE 2025,"August 9,  2025","Milton Keynes, UK"
UP IN THE SKY FESTIVAL 2025,"August 8- 9, 2025","Aspen, CO"
WAY OUT WEST 2025,"August 7- 9, 2025","Goteborg, Sweden"
WE FEST 2025,"August 7- 9, 2025","Detroit Lakes, MN"
XROADS41 2025,"August 7- 9, 2025","Oshkosh, WI"
ALCATRAZ METAL FEST 2025,"August 8- 10, 2025","Kortrijk, Belgium"
BACK 2 FESTIVAL 2025,"August 7- 10, 2025","Nottinghamshire, UK"
BAJA BEACH FEST 2025,"August 8- 10, 2025","Rosarito Beach, Mexico"
BALANCE CROATIA FESTIVAL 2025,"August 8- 10, 2025","Tisno, Croatia"
BAY FEST 2025,"August 8- 10, 2025","Bellaria Igea Marina, Italy"
BAYFRONT BLUES FESTIVAL 2025,"August 8- 10, 2025","Duluth, MN"
BIG SMOKE FESTIVAL 2025,"August 9- 10, 2025","London, UK"
BOARDMASTERS 2025,"August 6- 10, 2025","Newquay, UK"
BOOMTOWN 2025,"August 6- 10, 2025","Hampshire, UK"
BOOTS AND HEARTS 2025,"August 7- 10, 2025","Oro-Medonte, ON"
BROCCOLI CITY FESTIVAL 2025,"August 8- 10, 2025","Washington, DC"
BRUNCH ELECTRONIK FESTIVAL 2025,"August 8- 10, 2025","Barcelona, Spain"
COMING HOME FESTIVAL 2025,Cancelled,"Amaranth, ON"
DEVA FEST 2025,"August 7- 10, 2025","Chester, UK"
DREAMBEACH VILLARICOS 2025,"August 7- 10, 2025","Villaricos, Spain"
E-LAKE 2025,"August 8- 10, 2025","Echternach, Luxembourg"
EDMONTON FOLK FESTIVAL 2025,"August 7- 10, 2025","Edmonton, AB"
ELECTRISIZE FESTIVAL 2025,"August 8- 10, 2025","Erkelenz, Germany"
